"Timestamp","What do you think of Bitcoin?","Have you ever invested in Bitcoin or any other cryptocurrencies?","Do you know other cryptocurrencies?","If you invested in Bitcoin or other cryptocurrencies, did you make a profit?","Do you recommend investing in Bitcoin?","Do you think investing in Bitcoin is safer than investing in real estate?","Do you think Bitcoin is going to last in the next few years?"
"2022/04/12 11:21:52 AM GMT+4","It is a good investment","I was thinking about it","I think I do but I am not sure","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/12 12:21:57 PM GMT+4","It is a good investment","I was thinking about it","I think I do but I am not sure","I haven't invested","Absolutely","Yes","It will definitely"
"2022/04/12 12:22:30 PM GMT+4","It is just a ""trend""","No","No","I haven't invested","I will be neutral","Yes","It will definitely"
"2022/04/12 12:38:13 PM GMT+4","It is a good investment","Yes","Yes","Yes","I will be neutral","No","It will definitely"
"2022/04/12 12:40:09 PM GMT+4","I do not care about it","I was thinking about it","No","I haven't invested","No way","No","Maybe yes"
"2022/04/12 12:41:39 PM GMT+4","It is a bad investment","No","Yes","I haven't invested","No way","No","Maybe yes"
"2022/04/12 12:43:15 PM GMT+4","It is a good investment","Yes","Yes","Yes","I will be neutral","No","Maybe yes"
"2022/04/12 1:03:18 PM GMT+4","It is a good investment","I was thinking about it","I think I do but I am not sure","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/12 1:42:06 PM GMT+4","I do not care about it","Yes","Yes","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/12 3:29:17 PM GMT+4","I do not care about it","No","Yes","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/12 4:52:48 PM GMT+4","I do not care about it","Yes","Yes","Yes","I will be neutral","No","Maybe yes"
"2022/04/12 6:40:02 PM GMT+4","It is a good investment","Yes","Yes","Yes","Absolutely","Yes","It will definitely"
"2022/04/12 8:53:13 PM GMT+4","It is a good investment","I was thinking about it","I think I do but I am not sure","I haven't invested","I will be neutral","No","It will definitely"
