,user_followers,user_friends,user_favourites,user_verified,Sentiment
0,8534.0,7605.0,4838.0,0,1
1,6769.0,1532.0,25483.0,0,1
2,128.0,332.0,924.0,0,1
3,625.0,129.0,14.0,0,1
4,1249.0,178.0,10482.0,0,1
5,742.0,716.0,2444.0,0,2
6,6180.183566116452,84.0,5728.0,0,1
7,4052.0,1.0,9.0,0,1
8,104.0,41.0,238.0,0,1
9,8534.0,7605.0,4838.0,0,1
10,1159.0,2185.0,30852.0,0,2
11,3131.0,1.0,18.0,0,1
12,6180.183566116452,178.0,52.0,0,2
13,668.0,1097.0,6853.0,0,1
14,1281.0,25.0,72.0,0,1
15,4.0,32.0,139.0,0,1
16,72542.0,519.0,19763.0,0,1
17,625.0,129.0,12300.5,0,1
18,8534.0,7605.0,4838.0,0,1
19,6180.183566116452,30.0,12.0,0,1
20,26.0,178.0,115.0,0,1
21,274.0,178.0,537.5,0,2
22,1392.0,780.0,960.0,0,1
23,14469.0,178.0,40097.0,1,1
24,560.0,590.0,33782.0,0,1
25,6180.183566116452,288.0,2656.0,0,1
26,8534.0,7605.0,4838.0,0,1
27,645.0,487.0,1178.0,0,0
28,168.0,822.0,6919.0,0,1
29,0.0,19.0,0.0,0,1
30,872.0,158.0,1080.0,0,1
31,8534.0,7605.0,4838.0,0,1
32,2019.0,104.0,71.0,0,1
33,4.0,178.0,64.0,0,0
34,104.0,41.0,238.0,0,2
35,6180.183566116452,3470.0,236638.0,0,1
36,93.0,178.0,133141.5,0,2
37,6180.183566116452,178.0,29645.0,0,2
38,99.0,89.0,1568.0,0,1
39,3210.0,1.0,28.0,0,1
40,314.0,182.0,8639.0,0,2
41,8534.0,7605.0,4838.0,0,1
42,202.0,28.0,659.0,0,1
43,896.0,2437.0,5001.0,0,1
44,348.0,126.0,2510.0,0,1
45,9213.0,5.0,19.0,0,1
46,662.0,155.0,915.0,0,1
47,0.0,16.0,2.0,0,2
48,6180.183566116452,941.0,4839.0,0,0
49,31.0,26.0,1207.0,0,1
50,8534.0,7605.0,4838.0,0,1
51,513.0,178.0,9692.0,0,1
52,282.0,696.0,14546.0,0,2
53,1873.0,75.0,676.0,0,1
54,1.0,0.0,0.0,0,2
55,6180.183566116452,36.0,23.0,0,1
56,4279.0,3.0,3.0,0,1
57,429.0,77.0,34734.0,0,2
58,8323.0,1912.0,17403.0,0,1
59,1281.0,25.0,72.0,0,1
60,91.0,290.0,1144.0,0,1
61,1024.0,839.0,38.0,0,1
62,6180.183566116452,71.0,864.0,0,1
63,313.0,434.0,3994.0,0,2
64,38.0,81.0,1068.0,0,1
65,9677.0,3266.0,2702.0,0,1
66,1379.0,4966.0,842.0,0,2
67,2807.0,317.0,160.0,0,1
68,1036.0,0.0,8.0,0,1
69,49.0,243.0,17246.0,0,1
70,5366.0,927.0,34484.0,0,1
71,6180.183566116452,706.0,3054.0,0,2
72,6.0,0.0,29.0,0,0
73,394.0,539.0,5122.0,0,1
74,5366.0,927.0,34484.0,0,1
75,1404.0,4997.0,67785.0,0,1
76,5366.0,927.0,34484.0,0,1
77,1335.0,797.0,2394.0,0,1
78,291.0,991.0,5485.0,0,1
79,4150.0,0.0,1802.0,0,1
80,4817.0,3657.0,859.0,0,2
81,3072.0,178.0,24.0,0,2
82,1950.0,178.0,1378.0,0,0
83,6180.183566116452,1833.0,26.0,0,2
84,49.0,243.0,192.0,0,2
85,11784.0,3811.0,110.0,0,1
86,313.0,434.0,3994.0,0,1
87,49.0,243.0,192.0,0,1
88,550.0,2378.0,6789.0,0,1
89,6180.183566116452,35.0,3403.0,0,1
90,314.0,182.0,8639.0,0,2
91,3309.0,1976.0,201.0,0,1
92,314.0,182.0,8639.0,0,2
93,65.0,240.0,4335.0,0,1
94,481.0,178.0,31.0,0,2
95,1877.0,1454.0,33.0,0,1
96,6180.183566116452,405.0,8821.0,0,1
97,3910.0,1.0,10.0,0,1
98,274.0,1053.0,4401.0,0,0
99,662.0,155.0,915.0,0,2
100,137.0,35.0,3403.0,0,1
101,4817.0,3657.0,3832.5,0,1
102,628.0,369.0,4262.0,0,1
103,314.0,182.0,8639.0,0,2
104,6180.183566116452,178.0,13622.0,0,1
105,3309.0,1976.0,201.0,0,2
106,6.0,6.0,161.0,0,1
107,137.0,35.0,3403.0,0,1
108,60.0,59.0,1063.0,0,1
109,631.0,2894.0,7588.0,0,1
110,618.0,150.0,4769.0,0,1
111,186.0,347.0,5020.0,0,1
112,6.0,149.0,823.0,0,1
113,3573.0,83.0,122.0,0,1
114,22406.0,443.0,39583.0,0,0
115,9798.0,3337.0,193.0,0,1
116,28538.0,3.0,312.0,0,2
117,3508.0,0.0,0.0,0,1
118,4154.0,76.0,45.0,0,1
119,2158.0,1.0,3.0,0,1
120,1.0,0.0,0.0,0,2
121,16.0,56.0,0.0,0,2
122,2515.0,178.0,27.0,0,2
123,9.0,42.0,896.0,0,2
124,137.0,35.0,60874.5,0,1
125,78779.0,46656.0,120853.0,0,1
126,118.0,1.0,6.0,0,1
127,6180.183566116452,2378.0,6789.0,0,2
128,320.0,16.0,5624.0,0,1
129,4344.0,3.0,132.0,0,1
130,842.0,2115.0,5181.0,0,2
131,168.0,333.0,640.0,0,2
132,292.0,1703.0,2568.0,0,1
133,108.0,447.0,583.0,0,1
134,143.0,453.0,163.0,0,1
135,6180.183566116452,0.0,8.0,0,1
136,54889.0,13381.0,4496.0,0,1
137,106.0,268.0,716.0,0,1
138,33038.0,1024.0,8348.0,0,1
139,30801.0,6517.0,8348.0,0,1
140,33038.0,1024.0,8348.0,0,1
141,662.0,155.0,915.0,0,1
142,8.0,0.0,49.0,0,1
143,4052.0,1.0,9.0,0,1
144,98.0,667.0,474.0,0,1
145,6180.183566116452,2942.0,126176.0,0,1
146,1525.0,3432.0,30342.0,0,1
147,6616.0,730.0,3932.0,0,2
148,41.0,149.0,3833.0,0,1
149,3131.0,1.0,18.0,0,1
150,33038.0,1024.0,8348.0,0,1
151,33038.0,178.0,8348.0,0,1
152,33038.0,1024.0,8348.0,0,1
153,33038.0,1024.0,8348.0,0,1
154,33038.0,1024.0,8348.0,0,1
155,33038.0,1024.0,8348.0,0,1
156,41.0,149.0,3833.0,0,1
157,315.0,85.0,97.0,0,1
158,1281.0,25.0,72.0,0,1
159,4817.0,3657.0,859.0,0,2
160,2518.0,1082.0,191.0,0,1
161,157.0,571.0,3666.0,0,0
162,94.0,189.0,753.0,0,2
163,175.0,281.0,1629.0,0,1
164,315.0,85.0,97.0,0,1
165,662.0,155.0,915.0,0,1
166,5272.0,3935.0,31376.0,0,0
167,4990.0,3706.0,16779.5,0,0
168,1091.0,80.0,2183.0,0,1
169,5091.0,941.0,6766.0,0,2
170,1456.0,343.0,193.0,0,1
171,549.0,638.0,9167.0,0,1
172,5366.0,927.0,34484.0,0,1
173,186.0,347.0,5020.0,0,2
174,54.0,494.0,74.0,0,0
175,6.0,0.0,29.0,0,1
176,437.0,178.0,330.0,0,2
177,1364.0,1949.0,1855.0,0,2
178,32.0,31.0,197.0,0,1
179,314.0,182.0,8639.0,0,2
180,3210.0,1.0,28.0,0,1
181,0.0,10.0,21.0,0,1
182,8.0,2.0,14.0,0,1
183,195.0,141.0,581.0,0,2
184,0.0,9.0,2.0,0,2
185,186.0,347.0,5020.0,0,2
186,1.0,0.0,0.0,0,2
187,86.0,386.0,270.0,0,1
188,6.0,0.0,29.0,0,1
189,23.0,1.0,3280.0,0,1
190,8887.0,221.0,4411.0,0,1
191,27.0,6.0,3.0,0,1
192,78.0,61.0,550.0,0,1
193,662.0,155.0,915.0,0,1
194,31548.0,2734.0,26340.0,1,1
195,0.0,18.0,70.0,0,1
196,108.0,464.0,13091.0,0,1
197,14.0,269.0,544.0,0,1
198,5.0,1.0,729.5,0,1
199,662.0,155.0,915.0,0,1
200,1011.0,1.0,575.0,0,1
201,3790.0,753.0,35256.0,0,1
202,9.0,11.0,63.0,0,2
203,61.0,100.0,1186.0,0,1
204,81.0,401.0,1556.0,0,0
205,21715.0,29.0,1262.0,0,2
206,31.0,57.0,60.0,0,1
207,40.0,97.0,123.0,0,1
208,13.0,159.0,100.0,0,1
209,634.0,192.0,514.0,0,1
210,8.0,35.0,236.0,0,1
211,625.0,129.0,14.0,0,1
212,70.0,1356.0,265.0,0,0
213,50.0,156.0,348.5,0,1
214,36.0,178.0,432.0,0,2
215,25.0,1.0,1.0,0,2
216,1170.0,466.0,2594.0,0,2
217,4150.0,0.0,1802.0,0,1
218,149.0,654.0,1164.0,0,1
219,644.0,934.0,2376.0,0,1
220,42.0,201.0,12050.0,0,1
221,77.0,384.0,217.0,0,1
222,14386.0,3200.0,276307.0,0,1
223,1432.0,900.0,4147.0,0,1
224,519.0,4532.0,1875.0,0,2
225,358.0,178.0,6801.0,0,1
226,246.0,183.0,1580.0,0,0
227,1877.0,1454.0,33.0,0,1
228,3910.0,1.0,10.0,0,1
229,26.0,148.0,589.5,0,1
230,49.0,90.0,1169.0,0,1
231,3309.0,1976.0,201.0,0,2
232,327.0,941.0,57.0,0,2
233,1598.0,5006.0,12445.0,0,1
234,6.0,25.0,83.0,0,1
